id_x,host_id,host_response_rate,host_is_superhost,host_listings_count,accommodates,bathrooms,bedrooms,beds,price,avg_rating,number_of_reviews,neighbourhood_cleansed,property_type,neighbourhood_cleansed_freq,property_type_freq
644818580119651887,463231133,1.0,0,1.0,4.0,1.0,2.0,4.0,93.0,4.4399999999999995,1444,Dublin City,Private room in townhouse,0.6807995154451847,0.03331314354936402
646985497193806192,444005681,1.0,0,1.0,2.0,1.0,1.0,1.0,99.0,4.748571428571428,8281,South Dublin,Entire guesthouse,0.06117504542701393,0.013325257419745608
648656572585465033,403801975,1.0,0,2.0,2.0,1.0,1.0,1.0,81.0,4.659999999999999,38416,Dublin City,Private room in condo,0.6807995154451847,0.04784978800726832
649700408190599979,45610787,1.0,0,8.0,4.0,1.0,1.0,2.0,231.0,4.807142857142857,21904,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
650023568136777321,464441235,1.0,0,1.0,8.0,2.0,4.0,4.0,230.0,4.797142857142857,196,Dn Laoghaire-Rathdown,Entire home,0.13506965475469412,0.18655360387643852
650073560906745823,464431151,1.0,1,1.0,2.0,1.0,1.0,1.0,95.0,4.927142857142857,16900,Dublin City,Private room in bed and breakfast,0.6807995154451847,0.014536644457904301
655471745375128536,465665833,1.0,0,39.0,4.0,1.0,1.0,2.0,119.0,4.762857142857143,90000,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
655471784766200995,465665833,1.0,0,39.0,8.0,1.0,2.0,5.0,206.0,4.765714285714286,91809,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
656468929991993332,6934588,1.0,0,1.0,1.0,1.0,1.0,1.0,100.0,4.92,49,South Dublin,Private room in home,0.06117504542701393,0.20714718352513628
657895804641519272,426373551,1.0,1,3.0,6.0,2.0,3.0,3.0,496.0,5.0,1,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
658342917580733500,465665833,1.0,0,39.0,2.0,1.0,1.0,1.0,109.0,4.692857142857143,81225,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
658346706026078760,465665833,1.0,0,39.0,8.0,1.0,2.0,5.0,202.0,4.678571428571429,73441,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
658570085714473709,313053277,1.0,0,1.0,2.0,1.0,1.0,1.0,130.0,5.0,4,Dn Laoghaire-Rathdown,Entire home,0.13506965475469412,0.18655360387643852
658700977394802840,162402361,0.97,1,84.0,4.0,2.0,2.0,2.0,145.0,4.821428571428571,16,Dn Laoghaire-Rathdown,Entire rental unit,0.13506965475469412,0.21562689279224712
659248318428590933,456776147,1.0,1,6.0,5.0,3.0,3.0,3.0,225.0,4.857142857142857,4,Dublin City,Entire townhouse,0.6807995154451847,0.03210175651120533
659252004019092182,162402361,0.97,1,84.0,4.0,2.0,2.0,2.0,145.0,4.735714285714286,36,Dn Laoghaire-Rathdown,Entire rental unit,0.13506965475469412,0.21562689279224712
659252365527135727,162402361,0.97,1,84.0,4.0,2.0,2.0,2.0,145.0,5.0,9,Dn Laoghaire-Rathdown,Entire rental unit,0.13506965475469412,0.21562689279224712
659256638480655680,63458836,0.75,0,1.0,6.0,4.0,4.0,4.0,300.0,4.928571428571429,4,Fingal,Entire home,0.12295578437310721,0.18655360387643852
659260855818533310,162402361,0.97,1,84.0,2.0,1.0,1.0,1.0,119.0,4.928571428571429,4,Dn Laoghaire-Rathdown,Entire rental unit,0.13506965475469412,0.21562689279224712
659261444378507302,162402361,0.97,1,84.0,2.0,1.0,1.0,1.0,119.0,5.0,1,Dn Laoghaire-Rathdown,Entire rental unit,0.13506965475469412,0.21562689279224712
659261645355038519,162402361,0.97,1,84.0,2.0,1.0,1.0,1.0,119.0,4.107142857142857,16,Dn Laoghaire-Rathdown,Entire rental unit,0.13506965475469412,0.21562689279224712
659857814114258876,15862737,1.0,0,2.0,2.0,1.5,1.0,1.0,108.0,4.925714285714285,1024,Dn Laoghaire-Rathdown,Private room in villa,0.13506965475469412,0.0006056935190793458
659991633339765013,3737305,1.0,0,2.0,6.0,2.0,2.0,2.0,279.0,4.602857142857142,961,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
660860781183706927,65626621,1.0,0,2.0,4.0,2.5,2.0,2.0,162.0,4.96,196,South Dublin,Entire home,0.06117504542701393,0.18655360387643852
